,sex,TPR,FPR,TNR,FNR,ACC,Mean_y_hat,Mean_y_target,Mean_y_hat_prob,Model
1,0.0,0.5393258426966292,0.17901234567901234,0.8209876543209876,0.4606741573033708,0.7211155378486056,0.30677290836653387,0.3545816733067729,0.421527624130249,Xgboost
0,1.0,0.659468438538206,0.3101694915254237,0.6898305084745763,0.34053156146179403,0.674496644295302,0.4865771812080537,0.5050335570469798,0.5105137825012207,Xgboost
1,0.0,0.45132743362831856,0.22033898305084745,0.7796610169491526,0.5486725663716814,0.6517241379310345,0.3103448275862069,0.3896551724137931,0.4153909385204315,Xgboost
0,1.0,0.6672504378283712,0.3384879725085911,0.6615120274914089,0.3327495621716287,0.6643538594969645,0.5013009540329575,0.49522983521248914,0.5278085470199585,Xgboost
0,0.0,0.5304347826086957,0.16853932584269662,0.8314606741573034,0.46956521739130436,0.7133105802047781,0.310580204778157,0.3924914675767918,0.4127567708492279,Xgboost
1,1.0,0.6933797909407665,0.3229166666666667,0.6770833333333334,0.30662020905923343,0.6852173913043478,0.5078260869565218,0.4991304347826087,0.514923632144928,Xgboost
1,0.0,0.4807692307692308,0.16111111111111112,0.8388888888888889,0.5192307692307693,0.7077464788732394,0.27816901408450706,0.36619718309859156,0.3895396590232849,Xgboost
0,1.0,0.6683501683501684,0.2513274336283186,0.7486725663716814,0.33164983164983164,0.7075064710957722,0.46505608283002586,0.5125107851596203,0.5084713101387024,Xgboost
0,0.0,0.48623853211009177,0.14285714285714285,0.8571428571428571,0.5137614678899083,0.7111913357400722,0.2779783393501805,0.3935018050541516,0.41144782304763794,Xgboost
1,1.0,0.66,0.3238938053097345,0.6761061946902654,0.34,0.6678111587982832,0.49699570815450644,0.5150214592274678,0.51642906665802,Xgboost
1,0.0,0.5612244897959183,0.2046783625730994,0.7953216374269005,0.4387755102040816,0.7100371747211895,0.3345724907063197,0.3643122676579926,0.41285642981529236,Xgboost
0,1.0,0.6722129783693843,0.3158813263525305,0.6841186736474695,0.3277870216306156,0.6780238500851788,0.49829642248722317,0.5119250425894378,0.5189037322998047,Xgboost
1,0.0,0.5377358490566038,0.1638418079096045,0.8361581920903954,0.46226415094339623,0.7243816254416962,0.303886925795053,0.3745583038869258,0.41559287905693054,Xgboost
0,1.0,0.6509598603839442,0.313458262350937,0.686541737649063,0.34904013961605584,0.6689655172413793,0.48017241379310344,0.4939655172413793,0.5123698115348816,Xgboost
1,0.0,0.46551724137931033,0.16201117318435754,0.8379888268156425,0.5344827586206896,0.6915254237288135,0.28135593220338984,0.39322033898305087,0.3940221071243286,Xgboost
0,1.0,0.6710310965630114,0.3500931098696462,0.6499068901303539,0.32896890343698854,0.6611498257839721,0.5209059233449478,0.5322299651567944,0.523298978805542,Xgboost
0,0.0,0.47572815533980584,0.15294117647058825,0.8470588235294118,0.5242718446601942,0.706959706959707,0.27472527472527475,0.3772893772893773,0.404609739780426,Xgboost
1,1.0,0.6637630662020906,0.30033557046979864,0.6996644295302014,0.3362369337979094,0.6820512820512821,0.47863247863247865,0.4905982905982906,0.5135421752929688,Xgboost
1,0.0,0.48598130841121495,0.1488095238095238,0.8511904761904762,0.514018691588785,0.7090909090909091,0.28,0.3890909090909091,0.41484910249710083,Xgboost
0,1.0,0.6649484536082474,0.27692307692307694,0.7230769230769231,0.33505154639175255,0.6940874035989717,0.4704370179948586,0.4987146529562982,0.5112848877906799,Xgboost
0,0.0,0.5283018867924528,0.23295454545454544,0.7670454545454546,0.4716981132075472,0.6773049645390071,0.34397163120567376,0.375886524822695,0.43135008215904236,Xgboost
1,1.0,0.6397849462365591,0.3167495854063018,0.6832504145936982,0.3602150537634409,0.6623600344530577,0.4720068906115418,0.4806201550387597,0.5058634877204895,Xgboost
1,0.0,0.5229357798165137,0.13609467455621302,0.863905325443787,0.47706422018348627,0.7302158273381295,0.28776978417266186,0.3920863309352518,0.4063858091831207,Xgboost
0,1.0,0.7011884550084889,0.3090277777777778,0.6909722222222222,0.298811544991511,0.696137339055794,0.5072961373390558,0.5055793991416309,0.5294541716575623,Xgboost
